prefix,peer_asn,as_path
161.123.128.0/17,57821,57821 12586
161.123.128.0/17,22652,22652 3257 12586 12586
161.123.128.0/17,3549,3549 3257 12586 12586
161.123.128.0/17,4777,4777 2497 3320 12586
161.123.128.0/17,50304,50304 42708 31025 12586
161.123.128.0/17,3257,3257 12586 12586
161.123.128.0/17,57381,57381 42708 31025 12586
161.123.128.0/17,7018,7018 3320 12586
161.123.128.0/17,37989,37989 4844 7473 3320 12586
161.123.128.0/17,50300,50300 2914 3257 12586 12586
161.123.128.0/17,4608,4608 1221 4637 3320 12586
161.123.128.0/17,1836,1836 13030 31025 12586
161.123.128.0/17,29608,29608 3356 3257 12586 12586
161.123.128.0/17,8758,8758 8220 31025 12586
161.123.128.0/24,57821,57821 12586
161.123.129.0/24,4777,4777 2497 3491 46261
161.123.129.0/24,57821,57821 12586
161.123.129.0/24,3257,3257 174 46261
161.123.129.0/24,4608,4608 1221 4637 174 46261
161.123.129.0/24,50304,50304 174 46261
161.123.129.0/24,29608,29608 3356 3491 46261
161.123.129.0/24,50300,50300 174 46261
161.123.129.0/24,8758,8758 174 46261
161.123.129.0/24,3549,3549 3356 3491 46261
161.123.129.0/24,7018,7018 174 46261
161.123.129.0/24,22652,22652 174 46261
161.123.129.0/24,57381,57381 50304 174 46261
161.123.129.0/24,1836,1836 174 46261
161.123.130.0/24,57821,57821 12586
161.123.131.0/24,57821,57821 12586
161.123.131.0/24,29608,29608 3356 23352 23352 61440
161.123.131.0/24,4777,4777 2497 2914 23352 61440
161.123.131.0/24,4608,4608 1221 4637 3257 23352 23352 61440
161.123.131.0/24,50300,50300 2914 23352 61440
161.123.131.0/24,3257,3257 23352 23352 61440
161.123.131.0/24,8758,8758 6830 2914 23352 61440
161.123.131.0/24,1836,1836 174 1299 23352 61440
161.123.131.0/24,50304,50304 174 1299 23352 61440
161.123.131.0/24,22652,22652 3356 23352 23352 61440
161.123.131.0/24,7018,7018 2914 23352 61440
161.123.131.0/24,3549,3549 3356 23352 23352 61440
161.123.131.0/24,57381,57381 50304 174 1299 23352 61440
161.123.132.0/24,57821,57821 12586
161.123.133.0/24,4777,4777 2497 3491 46261
161.123.133.0/24,57821,57821 12586
161.123.133.0/24,3257,3257 174 46261
161.123.133.0/24,4608,4608 1221 4637 174 46261
161.123.133.0/24,50304,50304 174 46261
161.123.133.0/24,29608,29608 3356 3491 46261
161.123.133.0/24,50300,50300 174 46261
161.123.133.0/24,8758,8758 174 46261
161.123.133.0/24,3549,3549 3356 3491 46261
161.123.133.0/24,7018,7018 174 46261
161.123.133.0/24,22652,22652 174 46261
161.123.133.0/24,57381,57381 50304 174 46261
161.123.133.0/24,1836,1836 174 46261
161.123.134.0/24,57821,57821 12586
161.123.135.0/24,4777,4777 2497 3491 46261
161.123.135.0/24,57821,57821 12586
161.123.135.0/24,3257,3257 174 46261
161.123.135.0/24,4608,4608 1221 4637 174 46261
161.123.135.0/24,50304,50304 174 46261
161.123.135.0/24,29608,29608 3356 3491 46261
161.123.135.0/24,50300,50300 174 46261
161.123.135.0/24,8758,8758 174 46261
161.123.135.0/24,3549,3549 3356 3491 46261
161.123.135.0/24,7018,7018 174 46261
161.123.135.0/24,22652,22652 174 46261
161.123.135.0/24,57381,57381 50304 174 46261
161.123.135.0/24,1836,1836 174 46261
161.123.136.0/24,57821,57821 12586
161.123.137.0/24,57821,57821 12586
161.123.137.0/24,29608,29608 3356 23352 23352 61440
161.123.137.0/24,4777,4777 2497 2914 23352 61440
161.123.137.0/24,4608,4608 1221 4637 3257 23352 23352 61440
161.123.137.0/24,50300,50300 2914 23352 61440
161.123.137.0/24,3257,3257 23352 23352 61440
161.123.137.0/24,8758,8758 6830 2914 23352 61440
161.123.137.0/24,1836,1836 174 1299 23352 61440
161.123.137.0/24,50304,50304 174 1299 23352 61440
161.123.137.0/24,22652,22652 3356 23352 23352 61440
161.123.137.0/24,7018,7018 2914 23352 61440
161.123.137.0/24,3549,3549 3356 23352 23352 61440
161.123.137.0/24,57381,57381 50304 174 1299 23352 61440
161.123.138.0/24,57821,57821 12586
161.123.139.0/24,4777,4777 2497 3491 46261
161.123.139.0/24,57821,57821 12586
161.123.139.0/24,3257,3257 174 46261
161.123.139.0/24,4608,4608 1221 4637 174 46261
161.123.139.0/24,50304,50304 174 46261
161.123.139.0/24,29608,29608 3356 3491 46261
161.123.139.0/24,50300,50300 174 46261
161.123.139.0/24,8758,8758 174 46261
161.123.139.0/24,3549,3549 3356 3491 46261
161.123.139.0/24,7018,7018 174 46261
161.123.139.0/24,22652,22652 174 46261
161.123.139.0/24,57381,57381 50304 174 46261
161.123.139.0/24,1836,1836 174 46261
161.123.140.0/24,57821,57821 12586
161.123.141.0/24,57821,57821 12586
161.123.141.0/24,29608,29608 3356 23352 23352 61440
161.123.141.0/24,4777,4777 2497 2914 23352 61440
161.123.141.0/24,4608,4608 1221 4637 3257 23352 23352 61440
161.123.141.0/24,50300,50300 2914 23352 61440
161.123.141.0/24,3257,3257 23352 23352 61440
161.123.141.0/24,8758,8758 6830 2914 23352 61440
161.123.141.0/24,1836,1836 174 1299 23352 61440
161.123.141.0/24,50304,50304 174 1299 23352 61440
161.123.141.0/24,22652,22652 3356 23352 23352 61440
161.123.141.0/24,7018,7018 2914 23352 61440
161.123.141.0/24,3549,3549 3356 23352 23352 61440
161.123.141.0/24,57381,57381 50304 174 1299 23352 61440
161.123.142.0/24,57821,57821 12586
161.123.143.0/24,57821,57821 12586
161.123.143.0/24,29608,29608 3356 23352 23352 61440
161.123.143.0/24,4777,4777 2497 2914 23352 61440
161.123.143.0/24,4608,4608 1221 4637 3257 23352 23352 61440
161.123.143.0/24,50300,50300 2914 23352 61440
161.123.143.0/24,3257,3257 23352 23352 61440
161.123.143.0/24,8758,8758 6830 2914 23352 61440
161.123.143.0/24,1836,1836 174 1299 23352 61440
161.123.143.0/24,50304,50304 174 1299 23352 61440
161.123.143.0/24,22652,22652 3356 23352 23352 61440
161.123.143.0/24,7018,7018 2914 23352 61440
161.123.143.0/24,3549,3549 3356 23352 23352 61440
161.123.143.0/24,57381,57381 50304 174 1299 23352 61440
161.123.144.0/24,57821,57821 12586
161.123.145.0/24,57821,57821 12586
161.123.145.0/24,29608,29608 3356 23352 23352 61440
161.123.145.0/24,4777,4777 2497 2914 23352 61440
161.123.145.0/24,4608,4608 1221 4637 3257 23352 23352 61440
161.123.145.0/24,50300,50300 2914 23352 61440
161.123.145.0/24,3257,3257 23352 23352 61440
161.123.145.0/24,8758,8758 6830 2914 23352 61440
161.123.145.0/24,1836,1836 174 1299 23352 61440
161.123.145.0/24,50304,50304 174 1299 23352 61440
161.123.145.0/24,22652,22652 3356 23352 23352 61440
161.123.145.0/24,7018,7018 2914 23352 61440
161.123.145.0/24,3549,3549 3356 23352 23352 61440
161.123.145.0/24,57381,57381 50304 174 1299 23352 61440
161.123.146.0/24,57821,57821 12586
161.123.147.0/24,57821,57821 12586
161.123.147.0/24,29608,29608 3356 23352 23352 61440
161.123.147.0/24,4777,4777 2497 2914 23352 61440
161.123.147.0/24,4608,4608 1221 4637 3257 23352 23352 61440
161.123.147.0/24,50300,50300 2914 23352 61440
161.123.147.0/24,3257,3257 23352 23352 61440
